adult,belongs_to_collection,id,original_language,original_title,release_date,status,title
False,,11306,en,Extreme Measures,1996-09-27,Released,Extreme Measures
False,,9625,en,The Glimmer Man,1996-10-04,Released,The Glimmer Man
False,"{'id': 10709, 'name': 'The Mighty Ducks Collection', 'poster_path': '/aUM5CXRiOu0YgrRZtDZSp997zgr.jpg', 'backdrop_path': '/8C8f3UkMgNofmipZ4b42UqdnUYb.jpg'}",10680,en,D3: The Mighty Ducks,1996-10-04,Released,D3: The Mighty Ducks
False,,6346,en,The Chamber,1996-10-11,Released,The Chamber
False,"{'id': 87232, 'name': 'The Apple Dumpling Gang Collection', 'poster_path': '/vd0szkY491LPcz6pZk9TmQThb3S.jpg', 'backdrop_path': None}",18660,en,The Apple Dumpling Gang,1975-07-01,Released,The Apple Dumpling Gang
False,"{'id': 181496, 'name': 'Davy Crockett Collection', 'poster_path': '/8CuB1HGxpy9C0og8WmpLABe4XSi.jpg', 'backdrop_path': None}",35115,en,"Davy Crockett, King of the Wild Frontier",1955-05-25,Released,"Davy Crockett, King of the Wild Frontier"
False,"{'id': 90348, 'name': 'Witch Mountain Collection', 'poster_path': '/3IggdwQeJvkkfMTKRv9iEpInGnV.jpg', 'backdrop_path': '/aXZ0LmSgLT1ZiNWnJ5qKaQHqBiC.jpg'}",14821,en,Escape to Witch Mountain,1975-03-21,Released,Escape to Witch Mountain
False,"{'id': 12087, 'name': 'Herbie Collection', 'poster_path': '/uFvt8t7HlB6BzjiJDU6ea1eI28L.jpg', 'backdrop_path': '/hgi9EeU50KFhv9pCDmJyx4VLp5G.jpg'}",14136,en,The Love Bug,1968-12-22,Released,The Love Bug
False,"{'id': 12087, 'name': 'Herbie Collection', 'poster_path': '/uFvt8t7HlB6BzjiJDU6ea1eI28L.jpg', 'backdrop_path': '/hgi9EeU50KFhv9pCDmJyx4VLp5G.jpg'}",10869,en,Herbie Rides Again,1974-02-14,Released,Herbie Rides Again
False,,22660,en,Old Yeller,1957-12-25,Released,Old Yeller
False,"{'id': 216395, 'name': 'Parent Trap Collection', 'poster_path': None, 'backdrop_path': None}",19186,en,The Parent Trap,1961-06-12,Released,The Parent Trap
False,,31102,en,Pollyanna,1960-05-19,Released,Pollyanna
False,"{'id': 43058, 'name': 'Homeward Bound Collection', 'poster_path': '/4S9WMNUJFzxKOjcoS1mGrKFfygI.jpg', 'backdrop_path': None}",6878,en,Homeward Bound: The Incredible Journey,1993-02-03,Released,Homeward Bound: The Incredible Journey
False,"{'id': 294519, 'name': 'The Shaggy Dog Collection', 'poster_path': '/qCX60rYHFm8T8ffinuMq0cDM3iI.jpg', 'backdrop_path': None}",15944,en,The Shaggy Dog,1959-03-19,Released,The Shaggy Dog
False,,18444,en,Swiss Family Robinson,1960-12-21,Released,Swiss Family Robinson
False,,20723,en,That Darn Cat!,1965-12-02,Released,That Darn Cat!
False,,173,en,"20,000 Leagues Under the Sea",1954-12-23,Released,"20,000 Leagues Under the Sea"
False,,864,en,Cool Runnings,1993-09-30,Released,Cool Runnings
False,,24795,en,Angels in the Outfield,1994-07-15,Released,Angels in the Outfield
False,"{'id': 55419, 'name': 'Cinderella Collection', 'poster_path': '/ouN0BQzHKOqK03d9qKXP7JOgQdt.jpg', 'backdrop_path': '/yNq1UsclAyXaQGhXVSDoyS9wpFo.jpg'}",11224,en,Cinderella,1950-03-04,Released,Cinderella
False,,81310,en,Winnie the Pooh and the Blustery Day,1968-12-20,Released,Winnie the Pooh and the Blustery Day
False,"{'id': 271668, 'name': 'Caballeros Collection', 'poster_path': '/s3Jf9qBqzts4BOkwXGwUcFxKD4w.jpg', 'backdrop_path': None}",15947,en,The Three Caballeros,1944-07-21,Released,The Three Caballeros
False,,9078,en,The Sword in the Stone,1963-12-25,Released,The Sword in the Stone
False,,29682,en,So Dear to My Heart,1948-11-29,Released,So Dear to My Heart
False,,8367,en,Robin Hood: Prince of Thieves,1991-06-14,Released,Robin Hood: Prince of Thieves
False,,433,en,Mary Poppins,1964-08-27,Released,Mary Poppins
False,,11360,en,Dumbo,1941-10-22,Released,Dumbo
False,,11114,en,Pete's Dragon,1977-11-03,Released,Pete's Dragon
False,,12335,en,Bedknobs and Broomsticks,1971-10-07,Released,Bedknobs and Broomsticks
False,,12092,en,Alice in Wonderland,1951-07-03,Released,Alice in Wonderland
False,"{'id': 100970, 'name': 'The Fox and the Hound Collection', 'poster_path': '/ph2KiQxp8xmgA5ENoBhETvJnYw9.jpg', 'backdrop_path': '/fEix7vMN09DUvt7nHh9qFwN9Op9.jpg'}",10948,en,The Fox and the Hound,1981-07-10,Released,The Fox and the Hound
False,"{'id': 355490, 'name': 'Freeway Collection', 'poster_path': '/u5BhFwbnLg07R9VXlPeSxKT0FNR.jpg', 'backdrop_path': '/ysDeNGwgvTmdYuBF7njZ71bVIh4.jpg'}",11229,en,Freeway,1996-08-23,Released,Freeway
False,,15121,en,The Sound of Music,1965-03-02,Released,The Sound of Music
False,"{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}",562,en,Die Hard,1988-07-15,Released,Die Hard
False,"{'id': 124935, 'name': 'The Lawnmower Man Collection', 'poster_path': '/slBKrKBbL1g3KURphhAYIyOOH0G.jpg', 'backdrop_path': '/id05z92s8Pwc2wbR9YAKngGqOyP.jpg'}",10163,en,The Lawnmower Man,1992-03-05,Released,The Lawnmower Man
False,,48862,en,Unhook the Stars,1996-09-04,Released,Unhook the Stars
False,,117036,en,Synthetic Pleasures,1995-09-13,Released,Synthetic Pleasures
False,,47199,en,The Secret Agent,1996-11-08,Released,The Secret Agent
False,,11159,en,Secrets & Lies,1996-05-24,Released,Secrets & Lies
False,,9591,en,That Thing You Do!,1996-10-04,Released,That Thing You Do!
False,,30500,en,To Gillian on Her 37th Birthday,1996-10-18,Released,To Gillian on Her 37th Birthday
False,,41843,en,Surviving Picasso,1996-09-04,Released,Surviving Picasso
False,,55058,en,Love Is All There Is,1996-05-10,Released,Love Is All There Is
False,,10938,en,Beautiful Thing,1996-06-21,Released,Beautiful Thing
False,,11412,en,The Long Kiss Goodnight,1996-10-11,Released,The Long Kiss Goodnight
False,,10586,en,The Ghost and the Darkness,1996-10-11,Released,The Ghost and the Darkness
False,,42314,en,Looking for Richard,1996-10-11,Released,Looking for Richard
False,,27845,en,Trees Lounge,1996-10-11,Released,Trees Lounge
False,,108365,en,The Proprietor,1996-09-09,Released,The Proprietor
False,,23223,en,Normal Life,1996-01-26,Released,Normal Life
False,,49471,en,Get on the Bus,1996-10-16,Released,Get on the Bus
False,,38153,en,Shadow Conspiracy,1997-01-31,Released,Shadow Conspiracy
False,,25147,en,Jude,1996-02-06,Released,Jude
False,,9716,en,Everyone Says I Love You,1996-12-06,Released,Everyone Says I Love You
False,,43777,es,Azúcar amarga,1996-02-10,Released,Bitter Sugar
False,,454,en,Romeo + Juliet,1996-10-31,Released,Romeo + Juliet
False,,10218,en,Swingers,1996-10-18,Released,Swingers
False,,819,en,Sleepers,1996-10-18,Released,Sleepers
False,,38191,en,The Sunchaser,1996-05-29,Rumored,The Sunchaser
False,,56830,en,Johns,1996-12-10,Released,Johns
False,"{'id': 86027, 'name': 'Aladdin Collection', 'poster_path': '/enl57YvMhTAdic6El5rfZppyzq2.jpg', 'backdrop_path': '/naeLgo2bt4WKfHF4BTrG6mkmjiY.jpg'}",11238,en,Aladdin and the King of Thieves,1996-05-20,Released,Aladdin and the King of Thieves
False,,27256,en,The Woman in Question,1952-02-18,Released,The Woman in Question
False,,31530,en,Shall We Dance,1937-05-07,Released,Shall We Dance
False,,66473,en,A Damsel in Distress,1937-11-19,Released,A Damsel in Distress
False,,28120,en,Crossfire,1947-07-22,Released,Crossfire
False,,1834,en,"Murder, My Sweet",1944-12-09,Released,"Murder, My Sweet"
False,,26282,en,Macao,1952-04-30,Released,Macao
False,,37218,en,For the Moment,1993-10-01,Released,For the Moment
False,,252,en,Willy Wonka & the Chocolate Factory,1971-06-29,Released,Willy Wonka & the Chocolate Factory
False,,116356,it,La vie sexuelle des Belges 1950-1978,1994-01-28,Released,The Sexual Life of the Belgians
False,,16372,en,The Innocents,1961-12-25,Released,The Innocents
False,,11561,en,Sleeper,1973-12-17,Released,Sleeper
False,,11302,en,Bananas,1971-04-28,Released,Bananas
False,,623,en,A Fish Called Wanda,1988-07-15,Released,A Fish Called Wanda
False,,583,en,Life of Brian,1979-08-17,Released,Life of Brian
False,,12614,en,Victor/Victoria,1982-04-25,Released,Victor/Victoria
False,,21711,en,The Candidate,1972-08-23,Released,The Candidate
False,,11575,en,The Great Race,1965-07-01,Released,The Great Race
False,,475,en,Bonnie and Clyde,1967-07-18,Released,Bonnie and Clyde
False,,11331,en,The Old Man and the Sea,1958-10-07,Released,The Old Man and the Sea
False,,521,en,Dial M for Murder,1954-05-29,Released,Dial M for Murder
False,,21202,en,Madame Butterfly,1995-11-22,Released,Madame Butterfly
False,"{'id': 86058, 'name': 'Dirty Dancing Collection', 'poster_path': '/gkrOvdbCFuGlxVwCYmczw7aw6Ku.jpg', 'backdrop_path': '/qR6POAKwCL8VwuK8ZjSAdRRFNj9.jpg'}",88,en,Dirty Dancing,1987-08-21,Released,Dirty Dancing
False,,500,en,Reservoir Dogs,1992-09-02,Released,Reservoir Dogs
False,,792,en,Platoon,1986-12-18,Released,Platoon
False,"{'id': 118221, 'name': ""Weekend at Bernie's Collection"", 'poster_path': '/gJVBXVetIkgVVMbzODQ3dJwvQkV.jpg', 'backdrop_path': '/khVvskKc4VzAHbHtQMhKGeKWDxC.jpg'}",8491,en,Weekend at Bernie's,1989-07-05,Released,Weekend at Bernie's
False,"{'id': 86336, 'name': 'Basic Instinct Collection', 'poster_path': '/hiM5EvFgjFboZtPMY5vFjhNnRQc.jpg', 'backdrop_path': '/o5rgryRLwlOApsO3toqpqhhdS7H.jpg'}",402,en,Basic Instinct,1992-03-20,Released,Basic Instinct
False,,10537,en,The Doors,1991-03-01,Released,The Doors
False,,11386,en,The Crying Game,1992-09-02,Released,The Crying Game
False,,9504,en,Glengarry Glen Ross,1992-09-15,Released,Glengarry Glen Ross
False,,15764,en,Sophie's Choice,1982-12-08,Released,Sophie's Choice
False,,601,en,E.T. the Extra-Terrestrial,1982-04-03,Released,E.T. the Extra-Terrestrial
False,,67365,en,The Search for One-eye Jimmy,1994-11-14,Released,The Search for One-eye Jimmy
False,,25842,en,A Christmas Carol,1938-12-16,Released,A Christmas Carol
False,,2119,en,Days of Thunder,1990-06-27,Released,Days of Thunder
False,,744,en,Top Gun,1986-05-16,Released,Top Gun
False,,136311,en,American Strays,1996-09-12,Released,American Strays
False,,221,en,Rebel Without a Cause,1955-10-27,Released,Rebel Without a Cause
False,,702,en,A Streetcar Named Desire,1951-09-18,Released,A Streetcar Named Desire
False,"{'id': 115225, 'name': 'Children of the Corn Collection', 'poster_path': '/v6auJblMcNxUmZx23mQXMHmzyY3.jpg', 'backdrop_path': '/g4aK8Up5zSegesJdMYbxDcndn20.jpg'}",25750,en,Children of the Corn IV: The Gathering,1996-10-08,Released,Children of the Corn IV: The Gathering
False,,17642,en,The Leopard Son,1996-09-27,Released,The Leopard Son
False,,427043,de,Charms Zwischenfälle,1996-10-03,Released,Charm's  Incidents
False,,146341,es,Bird of Prey,1995-09-12,Released,Bird of Prey
False,,9305,fr,Microcosmos : Le Peuple de l'herbe,1996-05-20,Released,Microcosmos
False,,37616,en,Palookaville,1995-09-07,Released,Palookaville
False,,11112,en,The Associate,1996-10-25,Released,The Associate
False,,21612,en,The Funeral,1996-01-26,Released,The Funeral
False,,141210,en,The Sleepover,2013-10-12,Released,The Sleepover
False,,102461,fr,La fille seule,1995-05-29,Released,A Single Girl
False,,36998,fr,Le huitième jour,1996-01-01,Released,The Eighth Day
False,,200383,en,North Star,1996-01-03,Released,North Star
False,,116844,en,Drunks,1997-03-14,Released,Drunks
False,,1630,en,The People vs. Larry Flynt,1996-10-12,Released,The People vs. Larry Flynt
False,,26626,en,Glory Daze,1995-10-01,Released,Glory Daze
False,,124837,en,A Perfect Candidate,1996-06-19,Released,A Perfect Candidate
False,,11816,en,On Golden Pond,1981-12-04,Released,On Golden Pond
False,"{'id': 937, 'name': 'The Pink Panther (Original) Collection', 'poster_path': '/xu6gZ0zGUSR8SC2QLKFaUrX2niM.jpg', 'backdrop_path': '/6KE7AguGR3UqwUn5RkzkoBc3MLy.jpg'}",11843,en,The Return of the Pink Panther,1975-05-21,Released,The Return of the Pink Panther
False,,10379,en,Drop Dead Fred,1991-04-19,Released,Drop Dead Fred
False,,2756,en,The Abyss,1989-08-09,Released,The Abyss
False,,790,en,The Fog,1980-02-08,Released,The Fog
False,"{'id': 115838, 'name': 'Escape From ... Collection', 'poster_path': '/8Zih8QGPJNXUuws0fIZmjxjs2Su.jpg', 'backdrop_path': '/c9mWaF2oeodriDLqYQr425sasxo.jpg'}",1103,en,Escape from New York,1981-05-22,Released,Escape from New York
False,"{'id': 174218, 'name': 'The Howling Collection', 'poster_path': '/ci6CZhFFLm0r3fDomXlRAmCEesr.jpg', 'backdrop_path': '/a0UuiTYxqMmj5Ll26rORaFoTKBc.jpg'}",11298,en,The Howling,1981-04-03,Released,The Howling
False,"{'id': 39460, 'name': 'The Water of the Hills Collection', 'poster_path': '/zEpjz1iP9zPzsceOfoXDfY6VlWU.jpg', 'backdrop_path': None}",4480,fr,Jean de Florette,1986-08-27,Released,Jean de Florette
False,"{'id': 39460, 'name': 'The Water of the Hills Collection', 'poster_path': '/zEpjz1iP9zPzsceOfoXDfY6VlWU.jpg', 'backdrop_path': None}",4481,fr,Manon des Sources,1986-11-19,Released,Manon of the Spring
False,,49688,es,Johnny cien pesos,1993-01-01,Released,Johnny 100 Pesos
False,,10765,en,Private Benjamin,1980-10-06,Released,Private Benjamin
False,,762,en,Monty Python and the Holy Grail,1975-03-13,Released,Monty Python and the Holy Grail
False,,44497,en,Hustler White,1996-07-19,Released,Hustler White
False,,85588,en,Dadetown,1995-09-02,Released,Dadetown
False,,278621,en,Everything Relative,1996-09-13,Released,Everything Relative
False,,99479,en,Entertaining Angels - The Dorothy Day Story,1996-09-27,Released,Entertaining Angels - The Dorothy Day Story
False,,55049,en,Trois vies et une seule mort,1996-05-15,Released,Three Lives and Only One Death
False,,124829,en,The Line King: The Al Hirschfeld Story,1996-09-27,Released,The Line King: The Al Hirschfeld Story
False,,79306,de,Snowriders,1996-10-17,Released,Snowriders
False,,356054,en,Curtis's Charm,1995-09-18,Released,Curtis's Charm
False,,10548,en,When We Were Kings,1996-10-25,Released,When We Were Kings
False,"{'id': 529, 'name': 'Wallace & Gromit Collection', 'poster_path': '/993pCCMO9g9RQUtNDxQgE1B330H.jpg', 'backdrop_path': '/huyrvVKEKa9czUY89fnvaAVAtkX.jpg'}",531,en,The Wrong Trousers,1993-12-17,Released,The Wrong Trousers
False,,104931,fr,JLG/JLG - autoportrait de décembre,1995-03-08,Released,JLG/JLG: Self-Portrait in December
False,,4483,fr,Le Retour de Martin Guerre,1982-05-12,Released,The Return of Martin Guerre
False,,18919,cs,Faust,1994-09-10,Released,Faust
False,,31556,en,He Walked by Night,1948-11-24,Released,He Walked by Night
False,,26167,en,Raw Deal,1948-05-26,Released,Raw Deal
False,,26174,en,T-Men,1947-12-15,Released,T-Men
False,,61461,it,I bambini ci guardano,1944-10-27,Released,The Children Are Watching Us
False,,117500,en,La symphonie pastorale,1946-09-26,Released,Pastoral Symphony
False,,218713,en,Here Comes Cookie,1935-09-10,Released,Here Comes Cookie
False,,217802,en,Love In Bloom,1935-04-20,Released,Love In Bloom
False,,127973,en,Six of a Kind,1934-02-09,Released,Six of a Kind
False,,659,de,Die Blechtrommel,1979-05-02,Released,The Tin Drum
False,,30892,en,The Ruling Class,1972-09-13,Released,The Ruling Class
False,,86369,fr,Mina Tannenbaum,1994-03-02,Released,Mina Tannenbaum
False,,8074,fr,Deux ou trois choses que je sais d'elle,1967-03-17,Released,2 or 3 Things I Know About Her
False,,124676,en,The Bloody Child,1996-10-26,Released,The Bloody Child
False,,38554,en,Dear God,1996-11-01,Released,Dear God
False,,49763,en,Bad Moon,1996-11-01,Released,Bad Moon
False,,41326,en,American Dream,1990-09-28,Released,American Dream
False,"{'id': 153948, 'name': 'Best of the Best Collection', 'poster_path': '/lRzylBJXIPsFxiTztxLNYhiZ4GK.jpg', 'backdrop_path': '/orC5lXKZTsitJguQFVxJcEhcTc.jpg'}",36555,en,Best of the Best 3: No Turning Back,1995-05-17,Released,Best of the Best 3: No Turning Back
False,,10608,en,Bob Roberts,1992-09-04,Released,Bob Roberts
False,,11216,it,Nuovo Cinema Paradiso,1988-11-17,Released,Cinema Paradiso
False,,7452,en,"The Cook, the Thief, His Wife & Her Lover",1989-09-10,Released,"The Cook, the Thief, His Wife & Her Lover"
False,,64567,fr,Grosse fatigue,1994-05-18,Released,Dead Tired
False,,892,fr,Delicatessen,1991-04-17,Released,Delicatessen
False,,1600,fr,La double vie de Véronique,1991-05-15,Released,The Double Life of Veronique
False,,26561,en,Enchanted April,1991-11-06,Released,Enchanted April
False,,975,en,Paths of Glory,1957-09-18,Released,Paths of Glory
False,,18129,en,The Grifters,1990-09-14,Released,The Grifters
False,,54405,en,Hear My Song,1991-12-27,Released,Hear My Song
False,,150823,en,The Shooter,1997-10-23,Released,The Shooter
False,,409,en,The English Patient,1996-11-14,Released,The English Patient
False,,38251,it,Mediterraneo,1991-01-31,Released,Mediterraneo
False,,10161,en,My Left Foot: The Story of Christy Brown,1989-07-21,Released,My Left Foot: The Story of Christy Brown
False,,1412,en,"Sex, Lies, and Videotape",1989-08-18,Released,"Sex, Lies, and Videotape"
False,,41768,en,Passion Fish,1992-12-11,Released,Passion Fish
False,,10409,en,Strictly Ballroom,1992-08-20,Released,Strictly Ballroom
False,,14285,en,The Thin Blue Line,1988-08-28,Released,The Thin Blue Line
False,,2469,es,¡Átame!,1989-12-12,Released,Tie Me Up! Tie Me Down!
False,,10174,en,Madonna: Truth or Dare,1991-05-10,Released,Madonna: Truth or Dare
False,,31225,en,Paris is Burning,1990-03-13,Released,Paris is Burning
False,,510,en,One Flew Over the Cuckoo's Nest,1975-11-18,Released,One Flew Over the Cuckoo's Nest
False,"{'id': 33071, 'name': 'Cheech & Chong Collection', 'poster_path': '/mI9ggvzjaDIGN1qcrM9fvATHVmZ.jpg', 'backdrop_path': '/tJqD18aCja9kNpZ1W2r5gZK2qdq.jpg'}",11455,en,Up in Smoke,1978-01-01,Released,Up in Smoke
False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",1891,en,The Empire Strikes Back,1980-05-17,Released,The Empire Strikes Back
False,,2493,en,The Princess Bride,1987-09-18,Released,The Princess Bride
False,"{'id': 84, 'name': 'Indiana Jones Collection', 'poster_path': '/lpxDrACKJhbbGOlwVMNz5YCj6SI.jpg', 'backdrop_path': '/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg'}",85,en,Raiders of the Lost Ark,1981-06-12,Released,Raiders of the Lost Ark
False,,68,en,Brazil,1985-02-20,Released,Brazil
False,"{'id': 8091, 'name': 'Alien Collection', 'poster_path': '/iVzIeC3PbG9BtDAudpwSNdKAgh6.jpg', 'backdrop_path': '/kB0Y3uGe9ohJa59Lk8UO9cUOxGM.jpg'}",679,en,Aliens,1986-07-18,Released,Aliens
False,"{'id': 48317, 'name': 'The Man With No Name Collection', 'poster_path': '/lzUZptOL6iQqulMvhB2jfT5GepD.jpg', 'backdrop_path': '/uAkE1MAvFUiYjOllgDRndispKu3.jpg'}",429,it,"Il buono, il brutto, il cattivo",1966-12-23,Released,"The Good, the Bad and the Ugly"
False,,13446,en,Withnail & I,1987-01-01,Released,Withnail & I
False,,389,en,12 Angry Men,1957-03-25,Released,12 Angry Men
False,,947,en,Lawrence of Arabia,1962-12-10,Released,Lawrence of Arabia
False,,185,en,A Clockwork Orange,1971-12-18,Released,A Clockwork Orange
False,,595,en,To Kill a Mockingbird,1962-12-25,Released,To Kill a Mockingbird
False,,28,en,Apocalypse Now,1979-08-15,Released,Apocalypse Now
False,,335,it,C'era una volta il West,1968-12-21,Released,Once Upon a Time in the West
False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",1892,en,Return of the Jedi,1983-05-23,Released,Return of the Jedi
False,,144,de,Der Himmel über Berlin,1987-01-01,Released,Wings of Desire
False,,1092,en,The Third Man,1949-08-31,Released,The Third Man
False,,769,en,GoodFellas,1990-09-12,Released,GoodFellas
False,"{'id': 8091, 'name': 'Alien Collection', 'poster_path': '/iVzIeC3PbG9BtDAudpwSNdKAgh6.jpg', 'backdrop_path': '/kB0Y3uGe9ohJa59Lk8UO9cUOxGM.jpg'}",348,en,Alien,1979-05-25,Released,Alien
False,"{'id': 1960, 'name': 'Evil Dead Collection', 'poster_path': '/eWFADubShlTEUiNsPcN6BMOKakr.jpg', 'backdrop_path': '/jrLLRe7pctP1aFDRuD9mt59YGHX.jpg'}",766,en,Army of Darkness,1992-10-09,Released,Army of Darkness
False,,175,fr,Le Grand Bleu,1988-05-11,Released,The Big Blue
False,,11645,ja,乱,1985-06-01,Released,Ran
False,,10835,cn,喋血雙雄,1989-07-06,Released,The Killer
False,"{'id': 119674, 'name': 'Psycho Collection', 'poster_path': '/29pDqAgmb4idzWzuZncoT7LZplA.jpg', 'backdrop_path': '/bPQZkZjNnsYuPZWzoRRl9k0VSQ8.jpg'}",539,en,Psycho,1960-06-16,Released,Psycho
False,"{'id': 112636, 'name': 'The Blues Brothers Collection', 'poster_path': '/pQf9LzCokihzlLmgQlPG7yBpZ1o.jpg', 'backdrop_path': '/i4Jai1IlkbOWd8eNFM0S1lupyLt.jpg'}",525,en,The Blues Brothers,1980-06-17,Released,The Blues Brothers
False,"{'id': 230, 'name': 'The Godfather Collection', 'poster_path': '/7SJVjEDoo7xH62TS8stkqRk4Byo.jpg', 'backdrop_path': '/3WZTxpgscsmoUk81TuECXdFOD0R.jpg'}",240,en,The Godfather: Part II,1974-12-20,Released,The Godfather: Part II
False,,600,en,Full Metal Jacket,1987-06-26,Released,Full Metal Jacket
False,"{'id': 529, 'name': 'Wallace & Gromit Collection', 'poster_path': '/993pCCMO9g9RQUtNDxQgE1B330H.jpg', 'backdrop_path': '/huyrvVKEKa9czUY89fnvaAVAtkX.jpg'}",530,en,A Grand Day Out,1990-05-18,Released,A Grand Day Out
False,,10705,en,Henry V,1989-10-05,Released,Henry V
False,,279,en,Amadeus,1984-10-26,Released,Amadeus
False,,3109,en,The Quiet Man,1952-07-21,Released,The Quiet Man
False,,311,en,Once Upon a Time in America,1984-02-16,Released,Once Upon a Time in America
False,,1578,en,Raging Bull,1980-11-14,Released,Raging Bull
False,,703,en,Annie Hall,1977-04-19,Released,Annie Hall
False,,9549,en,The Right Stuff,1983-10-20,Released,The Right Stuff
False,,1398,ru,Сталкер,1979-04-16,Released,Stalker
False,,387,de,Das Boot,1981-09-16,Released,Das Boot
False,"{'id': 330605, 'name': 'The Sting Collection', 'poster_path': None, 'backdrop_path': None}",9277,en,The Sting,1973-12-25,Released,The Sting
False,,343,en,Harold and Maude,1971-12-20,Released,Harold and Maude
False,,37291,en,Trust,1990-09-09,Released,Trust
False,,490,sv,Det sjunde inseglet,1957-02-16,Released,The Seventh Seal
False,,11235,en,Local Hero,1983-02-17,Released,Local Hero
False,"{'id': 528, 'name': 'The Terminator Collection', 'poster_path': '/vxiKtcxAJxHhlg2H1X8y7zcM3k6.jpg', 'backdrop_path': '/cpmbkwSxZnKO69V82A9a34tvk2E.jpg'}",218,en,The Terminator,1984-10-26,Released,The Terminator
False,,763,en,Braindead,1992-08-13,Released,Braindead
False,,9665,en,Glory,1989-12-15,Released,Glory
False,,18971,en,Rosencrantz & Guildenstern Are Dead,1991-02-08,Released,Rosencrantz & Guildenstern Are Dead
False,,696,en,Manhattan,1979-04-25,Released,Manhattan
False,,379,en,Miller's Crossing,1990-09-21,Released,Miller's Crossing
False,,207,en,Dead Poets Society,1989-06-02,Released,Dead Poets Society
False,,37247,en,The Graduate,1967-12-21,Released,The Graduate
False,,1480,en,Touch of Evil,1958-04-23,Released,Touch of Evil
False,,9322,fr,Nikita,1990-02-21,Released,La Femme Nikita
False,,826,en,The Bridge on the River Kwai,1957-10-02,Released,The Bridge on the River Kwai
False,,422,it,8½,1963-02-14,Released,8½
False,"{'id': 359005, 'name': 'The Jake Gittes Collection', 'poster_path': '/bv2if3JS0E5IScbkrNJMmiJtcPF.jpg', 'backdrop_path': '/mPf6vo6hAzftf8qRS4qbwRVBBkJ.jpg'}",829,en,Chinatown,1974-06-20,Released,Chinatown
False,,828,en,The Day the Earth Stood Still,1951-09-17,Released,The Day the Earth Stood Still
False,,3090,en,The Treasure of the Sierra Madre,1948-01-24,Released,The Treasure of the Sierra Madre
False,,9964,en,Bad Taste,1987-12-01,Released,Bad Taste
False,,3063,en,Duck Soup,1933-11-17,Released,Duck Soup
False,,13667,en,Better Off Dead...,1985-10-11,Released,Better Off Dead...
False,,694,en,The Shining,1980-05-22,Released,The Shining
False,,235,en,Stand by Me,1986-08-22,Released,Stand by Me
False,,832,de,M,1931-05-11,Released,M
False,"{'id': 1960, 'name': 'Evil Dead Collection', 'poster_path': '/eWFADubShlTEUiNsPcN6BMOKakr.jpg', 'backdrop_path': '/jrLLRe7pctP1aFDRuD9mt59YGHX.jpg'}",765,en,Evil Dead II,1987-03-13,Released,Evil Dead II
False,,5925,en,The Great Escape,1963-06-20,Released,The Great Escape
False,,11778,en,The Deer Hunter,1978-12-08,Released,The Deer Hunter
False,,4485,fr,Diva,1981-03-11,Released,Diva
False,,137,en,Groundhog Day,1993-02-11,Released,Groundhog Day
False,,33,en,Unforgiven,1992-08-07,Released,Unforgiven
False,,982,en,The Manchurian Candidate,1962-10-24,Released,The Manchurian Candidate
False,,8428,en,Pump up the Volume,1990-08-22,Released,Pump up the Volume
False,,212,en,Arsenic and Old Lace,1944-09-23,Released,Arsenic and Old Lace
False,"{'id': 264, 'name': 'Back to the Future Collection', 'poster_path': '/UV8VEgAxgKVnCVnZhFACmhxjE4.jpg', 'backdrop_path': '/c9C9Pg2QctyjZHRmS0P8rZg1OTA.jpg'}",105,en,Back to the Future,1985-07-03,Released,Back to the Future
False,,1633,en,Fried Green Tomatoes,1991-12-27,Released,Fried Green Tomatoes
False,,11202,en,Patton,1970-01-25,Released,Patton
False,,1554,en,Down by Law,1986-05-01,Released,Down by Law
False,,149,ja,アキラ,1988-07-16,Released,Akira
False,"{'id': 8050, 'name': 'Highlander Collection', 'poster_path': '/mNIXoyFicGseg9NoG3NHKZolKze.jpg', 'backdrop_path': '/gY5NPUGGJJdaGPlEM6f2pfHNtit.jpg'}",8009,en,Highlander,1986-03-07,Released,Highlander
False,,903,en,Cool Hand Luke,1967-06-22,Released,Cool Hand Luke
False,,11673,fr,Cyrano de Bergerac,1990-03-28,Released,Cyrano de Bergerac
False,,3034,en,Young Frankenstein,1974-12-15,Released,Young Frankenstein
False,,339,en,Night on Earth,1991-10-03,Released,Night on Earth
False,,10404,zh,大红灯笼高高挂,1991-12-20,Released,Raise the Red Lantern
False,,914,en,The Great Dictator,1940-10-15,Released,The Great Dictator
